state,year,population,violent_crime_total,violent_crime_rate
Connecticut,2024,"3,675,069"," 4,998 ",136.0 
Maine,2024,"1,405,012"," 1,406 ",100.1 
Massachusetts,2024,"7,136,171"," 22,457 ",314.7 
New Hampshire,2024,"1,409,032"," 1,551 ",110.1 
Rhode Island,2024,"1,112,308"," 1,708 ",153.6 
Vermont,2024,"648,493"," 1,421 ",219.1 
New Jersey,2024,"9,500,851"," 20,684 ",217.7 
New York,2024,"19,867,248"," 75,528 ",380.2 
Pennsylvania,2024,"13,078,751"," 32,123 ",245.6 
Illinois,2024,"12,710,158"," 36,756 ",289.2 
Indiana,2024,"6,924,275"," 21,669 ",312.9 
Michigan,2024,"10,140,459"," 44,043 ",434.3 
Ohio,2024,"11,883,304"," 34,898 ",293.7 
Wisconsin,2024,"5,960,975"," 16,602 ",278.5 
Iowa,2024,"3,241,488"," 7,885 ",243.3 
Kansas,2024,"2,970,606"," 13,033 ",438.7 
Minnesota,2024,"5,793,151"," 14,868 ",256.6 
Missouri,2024,"6,245,466"," 28,857 ",462.0 
Nebraska,2024,"2,005,465"," 4,423 ",220.5 
North Dakota,2024,"796,568"," 2,026 ",254.3 
South Dakota,2024,"924,669"," 3,350 ",362.3 
Delaware,2024,"1,051,917"," 3,795 ",360.8 
Florida,2024,"23,372,215"," 62,423 ",267.1 
Georgia,2024,"11,180,878"," 36,420 ",325.7 
Maryland,2024,"6,263,220"," 26,330 ",420.4 
North Carolina,2024,"11,046,024"," 41,511 ",375.8 
South Carolina,2024,"5,478,831"," 23,927 ",436.7 
Virginia,2024,"8,811,195"," 19,200 ",217.9 
West Virginia,2024,"1,769,979"," 4,404 ",248.8 
Alabama,2024,"5,157,699"," 18,561 ",359.9 
Kentucky,2024,"4,588,372"," 9,779 ",213.1 
Mississippi,2024,"2,943,045"," 6,194 ",210.5 
Tennessee,2024,"7,227,750"," 42,807 ",592.3 
Arkansas,2024,"3,088,354"," 17,893 ",579.4 
Louisiana,2024,"4,597,740"," 23,900 ",519.8 
Oklahoma,2024,"4,095,393"," 17,316 ",422.8 
Texas,2024,"31,290,831"," 121,845 ",389.4 
Arizona,2024,"7,582,384"," 31,991 ",421.9 
Colorado,2024,"5,957,493"," 28,378 ",476.3 
Idaho,2024,"2,001,619"," 4,616 ",230.6 
Montana,2024,"1,137,233"," 4,816 ",423.5 
Nevada,2024,"3,267,467"," 13,135 ",402.0 
New Mexico,2024,"2,130,256"," 15,276 ",717.1 
Utah,2024,"3,503,613"," 8,045 ",229.6 
Wyoming,2024,"587,618"," 1,195 ",203.4 
Alaska,2024,"740,133"," 5,359 ",724.1 
California,2024,"39,431,263"," 191,641 ",486.0 
Hawaii,2024,"1,446,146"," 3,148 ",217.7 
Oregon,2024,"4,272,371"," 14,143 ",331.0 
Washington,2024,"7,958,180"," 25,950 ",326.1 
